,Estado,Fecha,Camas,CamasCovid
37113,Nueva York,2022-07-27,39264.0,3256.0
41313,Vermont,2022-07-27,971.0,34.0
36237,Rhode Island,2022-07-27,2057.0,60.0
42528,Iowa,2022-07-27,4965.0,262.0
34657,Wisconsin,2022-07-27,9164.0,555.0
43427,Alaska,2022-07-27,1428.0,77.0
45499,Utah,2022-07-27,4232.0,264.0
37881,Carolina del Norte,2022-07-27,18333.0,1612.0
45675,Dakota del Norte,2022-07-27,1629.0,74.0
37384,Washington DC,2022-07-27,2774.0,207.0
38032,Míchigan,2022-07-27,18099.0,955.0
44671,Nuevo México,2022-07-27,3108.0,258.0
41447,Pensilvania,2022-07-27,27690.0,1713.0
46540,Florida,2022-07-27,46831.0,4765.0
40666,Maine,2022-07-27,2397.0,144.0
43671,Oregón,2022-07-27,5462.0,508.0
35937,Nebraska,2022-07-27,3394.0,212.0
41347,Hawái,2022-07-27,2118.0,177.0
37674,Puerto Rico,2022-07-27,5731.0,350.0
43229,Arizona,2022-07-26,11277.0,802.0
43347,Míchigan,2022-07-26,17077.0,964.0
36172,Nueva York,2022-07-26,35637.0,3192.0
45882,Minnesota,2022-07-26,7721.0,473.0
36673,Hawái,2022-07-26,2004.0,181.0
41908,Idaho,2022-07-26,2092.0,173.0
46159,Wyoming,2022-07-26,665.0,31.0
38642,Texas,2022-07-26,46418.0,4157.0
44417,Nueva Jersey,2022-07-26,15379.0,1102.0
43111,Maine,2022-07-26,2120.0,129.0
39443,California,2022-07-26,48055.0,5182.0
35472,Massachusetts,2022-07-26,13993.0,664.0
39316,Iowa,2022-07-26,4660.0,249.0
43722,Connecticut,2022-07-26,5753.0,361.0
34759,Indiana,2022-07-26,11296.0,801.0
37616,Nevada,2022-07-26,5949.0,448.0
43718,Vermont,2022-07-26,999.0,34.0
38482,Illinois,2022-07-26,20019.0,1491.0
35434,Nuevo Hampshire,2022-07-26,2219.0,82.0
39257,Luisiana,2022-07-26,8902.0,610.0
39237,Misisipi,2022-07-26,5234.0,453.0
43670,Kansas,2022-07-26,4893.0,271.0
43581,Carolina del Norte,2022-07-26,16990.0,1592.0
38518,Delaware,2022-07-26,2152.0,217.0
36013,Virginia Occidental,2022-07-26,4680.0,387.0
34889,Arkansas,2022-07-26,5577.0,487.0
42694,Oklahoma,2022-07-26,6670.0,465.0
46022,Georgia,2022-07-26,16649.0,1799.0
45999,Maryland,2022-07-26,8705.0,811.0
39394,Rhode Island,2022-07-26,2027.0,52.0
35016,Dakota del Norte,2022-07-26,1469.0,82.0
35830,Misuri,2022-07-26,12255.0,1115.0
45162,Ohio,2022-07-26,20423.0,1505.0
42409,carolina del Sur,2022-07-26,8203.0,610.0
38612,Alabama,2022-07-26,10931.0,896.0
46175,Samoa Estadounidense,2022-07-26,67.0,6.0
40759,Alaska,2022-07-26,1334.0,80.0
40051,Oregón,2022-07-26,5228.0,511.0
44607,Dakota del Sur,2022-07-26,1384.0,86.0
36348,Puerto Rico,2022-07-26,5559.0,339.0
35635,Colorado,2022-07-26,7064.0,349.0
38382,Nebraska,2022-07-26,3063.0,217.0
41081,Florida,2022-07-26,43364.0,4803.0
41605,Utah,2022-07-26,3415.0,239.0
43810,Pensilvania,2022-07-26,24365.0,1659.0
34430,Washington DC,2022-07-26,2716.0,203.0
40162,Wisconsin,2022-07-26,8521.0,544.0
40606,Nuevo México,2022-07-26,2841.0,242.0
324,Islas Virgenes,2022-07-26,105.0,6.0
40756,Kentucky,2022-07-26,8663.0,706.0
36100,Virginia,2022-07-26,12380.0,888.0
34087,Tennessee,2022-07-26,13699.0,958.0
40276,Washington,2022-07-26,9543.0,838.0
40941,Montana,2022-07-26,1790.0,111.0
46426,Rhode Island,2022-07-25,1986.0,55.0
39816,Ohio,2022-07-25,19365.0,1514.0
40890,Alabama,2022-07-25,10504.0,913.0
46282,Arkansas,2022-07-25,5275.0,463.0
42180,Florida,2022-07-25,41658.0,4543.0
36021,Texas,2022-07-25,44559.0,4060.0
38693,Dakota del Norte,2022-07-25,1383.0,86.0
37703,Hawái,2022-07-25,1949.0,177.0
41162,Nuevo México,2022-07-25,2833.0,223.0
38727,Arizona,2022-07-25,11004.0,849.0
41360,Carolina del Norte,2022-07-25,16619.0,1546.0
38192,Tennessee,2022-07-25,13253.0,942.0
42501,Virginia,2022-07-25,12057.0,871.0
